question_id,question_var_id,answer_var_id,question,answer_options,num_scale,question_type,subject,source,n_options,polarity,model,response,clean_response,num_value
21,1,1,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['A lot', 'A fair amount', 'Not too much', 'None at all', ""Don't know"", 'Refused']","[1.0, 0.33333333, -0.33333333, -1.0, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,6,unipolar,Llama-3.1-8B-Instruct,2,2,0.33333333
21,1,2,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['A great deal', 'A moderate amount', 'A small amount', 'None whatsoever', ""Don't know"", 'Refused']","[1.0, 0.33333333, -0.33333333, -1.0, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,6,unipolar,Llama-3.1-8B-Instruct,2,2,0.33333333
21,1,3,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['Substantially', 'Considerably', 'Minimally', 'Not at all', ""Don't know"", 'Refused']","[1.0, 0.33333333, -0.33333333, -1.0, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,6,unipolar,Llama-3.1-8B-Instruct,3,3,-0.33333333
21,1,4,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['Extensively', 'Moderately', 'Slightly', 'Not in the least', ""Don't know"", 'Refused']","[1.0, 0.33333333, -0.33333333, -1.0, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,6,unipolar,Llama-3.1-8B-Instruct,2,2,0.33333333
21,1,5,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['Extensively', 'Considerably', 'Quite a bit', 'Very little', 'Absolutely none', ""Don't know"", 'Refused']","[1.0, 0.5, 0.0, -0.5, -1.0, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,7,unipolar,Llama-3.1-8B-Instruct,3,3,0.0
22,1,1,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?","['A lot', 'A fair amount', 'Not too much', 'None at all', ""Don't know"", 'Refused']","[1.0, 0.33333333, -0.33333333, -1.0, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,6,unipolar,Llama-3.1-8B-Instruct,3,3,-0.33333333
22,1,2,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?","['A great deal', 'A moderate amount', 'A small amount', 'None whatsoever', ""Don't know"", 'Refused']","[1.0, 0.33333333, -0.33333333, -1.0, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,6,unipolar,Llama-3.1-8B-Instruct,3,3,-0.33333333
22,1,3,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?","['Substantially', 'Considerably', 'Minimally', 'Not at all', ""Don't know"", 'Refused']","[1.0, 0.33333333, -0.33333333, -1.0, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,6,unipolar,Llama-3.1-8B-Instruct,3,3,-0.33333333
22,1,4,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?","['Extensively', 'Moderately', 'Slightly', 'Not in the least', ""Don't know"", 'Refused']","[1.0, 0.33333333, -0.33333333, -1.0, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,6,unipolar,Llama-3.1-8B-Instruct,4,4,-1.0
22,1,5,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?","['Extensively', 'Considerably', 'Quite a bit', 'Very little', 'Absolutely none', ""Don't know"", 'Refused']","[1.0, 0.5, 0.0, -0.5, -1.0, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,7,unipolar,Llama-3.1-8B-Instruct,4,4,-0.5
23,1,1,"How much, if at all, do you think the amount of gun violence in video games contributes to gun violence in the country today?","['A lot', 'A fair amount', 'Not too much', 'None at all', ""Don't know"", 'Refused']","[1.0, 0.33333333, -0.33333333, -1.0, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,6,unipolar,Llama-3.1-8B-Instruct,3,3,-0.33333333
23,1,2,"How much, if at all, do you think the amount of gun violence in video games contributes to gun violence in the country today?","['A great deal', 'A moderate amount', 'A small amount', 'None whatsoever', ""Don't know"", 'Refused']","[1.0, 0.33333333, -0.33333333, -1.0, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,6,unipolar,Llama-3.1-8B-Instruct,3,3,-0.33333333
23,1,3,"How much, if at all, do you think the amount of gun violence in video games contributes to gun violence in the country today?","['Substantially', 'Considerably', 'Minimally', 'Not at all', ""Don't know"", 'Refused']","[1.0, 0.33333333, -0.33333333, -1.0, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,6,unipolar,Llama-3.1-8B-Instruct,3,3,-0.33333333
23,1,4,"How much, if at all, do you think the amount of gun violence in video games contributes to gun violence in the country today?","['Extensively', 'Moderately', 'Slightly', 'Not in the least', ""Don't know"", 'Refused']","[1.0, 0.33333333, -0.33333333, -1.0, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,6,unipolar,Llama-3.1-8B-Instruct,4,4,-1.0
23,1,5,"How much, if at all, do you think the amount of gun violence in video games contributes to gun violence in the country today?","['Extensively', 'Considerably', 'Quite a bit', 'Very little', 'Absolutely none', ""Don't know"", 'Refused']","[1.0, 0.5, 0.0, -0.5, -1.0, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,7,unipolar,Llama-3.1-8B-Instruct,4,4,-0.5
24,1,1,"How much, if at all, do you think family instability contributes to gun violence in the country today?","['A lot', 'A fair amount', 'Not too much', 'None at all', ""Don't know"", 'Refused']","[1.0, 0.33333333, -0.33333333, -1.0, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,6,unipolar,Llama-3.1-8B-Instruct,2,2,0.33333333
24,1,2,"How much, if at all, do you think family instability contributes to gun violence in the country today?","['A great deal', 'A moderate amount', 'A small amount', 'None whatsoever', ""Don't know"", 'Refused']","[1.0, 0.33333333, -0.33333333, -1.0, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,6,unipolar,Llama-3.1-8B-Instruct,2,2,0.33333333
