question_id,question_var_id,answer_var_id,question,answer_options,num_scale,question_type,subject,source,shuffle_seed,n_options,polarity,model,response,clean_response,num_value
21,1,1,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['A lot', 'A fair amount', 'Not too much', 'None at all']","[1.0, 0.33333333, -0.33333333, -1.0]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,,4,unipolar,Llama-3.1-8B,A.,1,1.0
21,1,2,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['A fair amount', 'Not too much', 'None at all', 'A lot']","[0.33333333, -0.33333333, -1.0, 1.0]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,2.0,4,unipolar,Llama-3.1-8B,A.,1,0.33333333
21,1,3,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['None at all', 'A fair amount', 'A lot', 'Not too much']","[-1.0, 0.33333333, 1.0, -0.33333333]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,7.0,4,unipolar,Llama-3.1-8B,B.,2,0.33333333
21,1,4,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['None at all', 'Not too much', 'A fair amount', 'A lot']","[-1.0, -0.33333333, 0.33333333, 1.0]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,10.0,4,unipolar,Llama-3.1-8B,C.,3,0.33333333
21,1,5,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['Not too much', 'A fair amount', 'None at all', 'A lot']","[-0.33333333, 0.33333333, -1.0, 1.0]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,67.0,4,unipolar,Llama-3.1-8B,A) Not too much Explanation: The ease with which people can legally obtain guns does not contribute to gun violence in the country today. The ease with which people can legally obtain guns does not contribute to gun violence in the country today. The ease,1,-0.33333333
21,1,6,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['A lot', 'None at all', 'Not too much', 'A fair amount']","[1.0, -1.0, -0.33333333, 0.33333333]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,101.0,4,unipolar,Llama-3.1-8B,A.,1,1.0
22,1,1,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?","['A lot', 'A fair amount', 'Not too much', 'None at all']","[1.0, 0.33333333, -0.33333333, -1.0]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,,4,unipolar,Llama-3.1-8B,A.,1,1.0
22,1,2,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?","['A fair amount', 'Not too much', 'None at all', 'A lot']","[0.33333333, -0.33333333, -1.0, 1.0]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,2.0,4,unipolar,Llama-3.1-8B,A. A fair amount.,1,0.33333333
22,1,3,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?","['None at all', 'A fair amount', 'A lot', 'Not too much']","[-1.0, 0.33333333, 1.0, -0.33333333]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,7.0,4,unipolar,Llama-3.1-8B,A) None at all Explanation: The amount of gun violence in movies and television does not contribute to gun violence in the country today. The amount of gun violence in movies and television is not a factor in gun violence in the country today. The,1,-1.0
22,1,4,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?","['None at all', 'Not too much', 'A fair amount', 'A lot']","[-1.0, -0.33333333, 0.33333333, 1.0]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,10.0,4,unipolar,Llama-3.1-8B,C.,3,0.33333333
22,1,5,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?","['Not too much', 'A fair amount', 'None at all', 'A lot']","[-0.33333333, 0.33333333, -1.0, 1.0]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,67.0,4,unipolar,Llama-3.1-8B,A) Not too much Explanation: The amount of gun violence in movies and television does not contribute to gun violence in the country today. The amount of gun violence in movies and television is not a significant factor in the amount of gun violence in the,1,-0.33333333
22,1,6,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?","['A lot', 'None at all', 'Not too much', 'A fair amount']","[1.0, -1.0, -0.33333333, 0.33333333]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,101.0,4,unipolar,Llama-3.1-8B,A. A lot.,1,1.0
