question_id,question_var_id,answer_var_id,question,answer_options,num_scale,question_type,subject,source,shuffle_seed,n_options,polarity,model,response,clean_response,num_value
21,1,1,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['A lot', 'A fair amount', 'Not too much', 'None at all', ""Don't know"", 'Refused']","[1.0, 0.33333333, -0.33333333, -1.0, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,,6,unipolar,Llama-3.1-8B-Instruct,2,2,0.33333333
21,1,2,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['A fair amount', 'Not too much', 'None at all', 'A lot', ""Don't know"", 'Refused']","[0.33333333, -0.33333333, -1.0, 1.0, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,2.0,6,unipolar,Llama-3.1-8B-Instruct,2,2,-0.33333333
21,1,3,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['None at all', 'A fair amount', 'A lot', 'Not too much', ""Don't know"", 'Refused']","[-1.0, 0.33333333, 1.0, -0.33333333, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,7.0,6,unipolar,Llama-3.1-8B-Instruct,2,2,0.33333333
21,1,4,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['None at all', 'Not too much', 'A fair amount', 'A lot', ""Don't know"", 'Refused']","[-1.0, -0.33333333, 0.33333333, 1.0, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,10.0,6,unipolar,Llama-3.1-8B-Instruct,3,3,0.33333333
21,1,5,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['Not too much', 'A fair amount', 'None at all', 'A lot', ""Don't know"", 'Refused']","[-0.33333333, 0.33333333, -1.0, 1.0, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,67.0,6,unipolar,Llama-3.1-8B-Instruct,2,2,0.33333333
21,1,6,"How much, if at all, do you think the ease with which people can legally obtain guns contributes to gun violence in the country today?","['A lot', 'None at all', 'Not too much', 'A fair amount', ""Don't know"", 'Refused']","[1.0, -1.0, -0.33333333, 0.33333333, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,101.0,6,unipolar,Llama-3.1-8B-Instruct,4,4,0.33333333
22,1,1,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?","['A lot', 'A fair amount', 'Not too much', 'None at all', ""Don't know"", 'Refused']","[1.0, 0.33333333, -0.33333333, -1.0, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,,6,unipolar,Llama-3.1-8B-Instruct,3,3,-0.33333333
22,1,2,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?","['A fair amount', 'Not too much', 'None at all', 'A lot', ""Don't know"", 'Refused']","[0.33333333, -0.33333333, -1.0, 1.0, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,2.0,6,unipolar,Llama-3.1-8B-Instruct,2,2,-0.33333333
22,1,3,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?","['None at all', 'A fair amount', 'A lot', 'Not too much', ""Don't know"", 'Refused']","[-1.0, 0.33333333, 1.0, -0.33333333, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,7.0,6,unipolar,Llama-3.1-8B-Instruct,1,1,-1.0
22,1,4,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?","['None at all', 'Not too much', 'A fair amount', 'A lot', ""Don't know"", 'Refused']","[-1.0, -0.33333333, 0.33333333, 1.0, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,10.0,6,unipolar,Llama-3.1-8B-Instruct,2,2,-0.33333333
22,1,5,"How much, if at all, do you think the amount of gun violence in movies and television contributes to gun violence in the country today?","['Not too much', 'A fair amount', 'None at all', 'A lot', ""Don't know"", 'Refused']","[-0.33333333, 0.33333333, -1.0, 1.0, -98, -99]",Quantity,Guns,Pew_American_Trends_Panel_disagreement_500.csv,67.0,6,unipolar,Llama-3.1-8B-Instruct,1,1,-0.33333333
